ussid,slaveid,isallocated
128249E28Musk,128249-LPTDELWH,YES
100001301000105001,100001-WD16,YES
1259285025155099148,125928-TD37,YES
128174124968BKWUK6,128174-BWHL,YES
1248488909112217851,124848-BHW,YES
1257384065418850711,125738-1942,YES
1257384065415251535,125738-1723,YES
127459NAPNOF304,127459-THDEL,YES
1239865901905024496,123986-MBEC01,YES
1239865901905024380,123986-MBEC01,YES
1239865901905024687,123986-MBEC01,YES
127939DD12201,127939-PSKOLWH,YES
1265788905241337323,126578-SMWH01,YES
124267OnePlusBuds3Black,124267-MUM,YES
1265788905241290994,126578-5114,YES
1265788905241262878,126578-SMWH01,YES
127532PL1574L,127532-NWSS2,YES
123906JKPLZ009L,123906-JAI1,YES
125598CHKTWWB22L,125598-CHICRA001,YES
100001301013647003,100001-WD16,YES
100001300963591002,100001-W088,YES
100001301023954003,100001-W088,YES
100001301002749003,100001-WD16,YES
1246218905685816774,124621-P120,YES
1246218905685786725,124621-PTGRN,YES
100001301022167003,100001-W088,YES
1246218905807269181,124621-P183,YES
100001301022885003,100001-W088,YES
100001301002753003,100001-WD16,YES
100001301022168003,100001-W088,YES
127366195703120282,127366-99,YES
126957HSWSHW23002FKBEXL,126957-GWSS1,YES
127695Grace2835TealL,127695-BAN,YES
126957HSMSHS2490OW40,126957-GWSS1,YES
127785RFJ1085AL,127785-UNNAO,YES
100001301018561003,100001-W218,YES
100001301021381003,100001-W043,YES
100001301010183003,100001-WD16,YES
100001301025051003,100001-W043,YES
1253491011B8674018,125349-AWH,YES
1246218909044692221,124621-PTKOL,YES
128156CCLFA43553,128156-CASAGOLDLUX01,YES
127445127440,127445-CRYSLUX01,YES
1265788905241197569,126578-SMWH01,YES
1265788905241263905,126578-SMWH01,YES
127477SSF924LIghtBlueS,127477-DEL,YES
1248488909112822475,124848-1270,YES
1277768905610216471,127776-1100149292,YES
1267548905580887473,126754-GUJ,YES
1246218909230239858,124621-PTKOL,YES
1246628903496203219,124662-BCLS1,YES
1241304067984996541,124130-KOLK,YES
100001300997316005,100001-WD16,YES
100001300987977005,100001-WD16,YES
100001301009018005,100001-W276,YES
100001300957676005,100001-W006,YES
124570LQB11220PEACHXL,124570-IRPSS1,YES
100001300999776005,100001-WD27,YES
12472122G1132GLGRYBLK8,124721-CAL-GGN,YES
100001301025051004,100001-W168,YES
127753QHE184T,127753-CWSEIKOLUX01,YES
1242465055953672618,124246-TD69,YES
1251521230114SL241042,125152-LDH,YES
100001301015285005,100001-WD16,YES
1257798905409671337,125779-BAN3,YES
1291104128831,129110-W038,YES
1291104397231,129110-W038,YES
1291104424102,129110-W038,YES
126088FWSX7127,126088-LSDT,YES
127939783320971563,127939-PSMUMWH,YES
100001301009968018,100001-W276,YES
100001301009968003,100001-W085,YES
100001301009968008,100001-WD16,YES
100001301002663028,100001-WD01,YES
100001301008980002,100001-WD27,YES
100001301020982006,100001-W099,YES
100001301020981006,100001-W099,YES
1280208907503056010,128020-CKWH,YES
100001301010943001,100001-W089,YES
1248488909112365187,124848-BHW,YES
1248488905951447107,124848-BHW,YES
100001301023793002,100001-W293,YES
100001301023630002,100001-W293,YES
100001301022868017,100001-W293,YES
100001300621345003,100001-W042,YES
100001300621337003,100001-W042,YES
100001301007346002,100001-W311,YES
100001301002739006,100001-WD16,YES
1240552042310ZR2023W5,124055-110077,YES
1248488905707307723,124848-BINOLA,YES
12753216103,127532-NWSS2,YES
12753248675L,127532-NWSS2,YES
126018skfull088greyblue34,126018-DG,YES
100001301000794001,100001-WD16,YES
128832WATERPROOF03cLGRYDGRY9,128832-ARV,YES
127785RMW02498,127785-DL11,YES
1252364067892344328,125236-1973,YES
1265788905241226788,126578-SMWH01,YES
1292368909068709202,129236-AS36589,YES
1277768909068314703,127776-1100149292,YES
128847MSGJT7NZPA,128847-ALIGARH,YES
1252364067893236059,125236-542,YES
12753226977XXL,127532-NWSS2,YES
1265788905241297412,126578-5082,YES
100001301014047001,100001-W238,YES
1242658904446650114,124265-TD12,YES
127636AX4183,127636-ADLUX,YES
128424SWA211,128424-128424,YES
128998DR009WINEXL,128998-OWN1224,YES
1248488905707881247,124848-BANDHL,YES
1248488909112075369,124848-BANDHL,YES
1256964066751966077,125696-1451,YES
128832AGC11cBLACK10,128832-ARV,YES
128832THAR01cLGRYBLK10,128832-ARV,YES
128832INDIGO24cLGRY4,128832-ARV,YES
128832PARADISE02cWHTPINK7,128832-ARV,YES
128832MEXICO11cLGRYNVYRED9,128832-ARV,YES
128832SAFARI04cWHTNAVY7,128832-ARV,YES
128832POWERPLAY01cOFFWHTBRN10,128832-ARV,YES
128832POWERPLAY01cOFFWHTBRN9,128832-ARV,YES
128832EVEREST22cDARKGREY7,128832-ARV,YES
128832EVEREST24cOLIVEBLK7,128832-ARV,YES
128832WATERPROOF05cFULLBLK12,128832-ARV,YES
128832INDIGO09cMAUVE7,128832-ARV,YES
128832TERMINATOR08cBLKREDFRZ9,128832-ARV,YES
128832TERMINATOR05cDGRYPGRN10,128832-ARV,YES
128832CLOGSJUNIOR12cROYALSLATE2,128832-ARV,YES
128832FIREFLY10cBLKPEACH8,128832-ARV,YES
128832JIO13cGRNRED10,128832-ARV,YES
128832MOSCOW12cWHTBLKBEEJ10,128832-ARV,YES
128832MEXICO11cLGRYBLK8,128832-ARV,YES
128832MEXICO11cBEEJLFGRN10,128832-ARV,YES
128832EVEREST21cBLKRED9,128832-ARV,YES
128832EVEREST01cBLK7,128832-ARV,YES
128832POWERPLAY01cNAVYORNG6,128832-ARV,YES
128832BOSTON01cWHTNAVYRED8,128832-ARV,YES
128832BOSS03cBLKDGRY9,128832-ARV,YES
128832BOSS03cBLKDGRY10,128832-ARV,YES
128832SLIDER34cNAVYLGRY8,128832-ARV,YES
128832MERCURY11cNBLUEPEACH7,128832-ARV,YES
128832MERCURY11cBLKRANI7,128832-ARV,YES
128832DOMINATOR03cWHTNVYMUST10,128832-ARV,YES
128832THUNDER07cBEIGELGRN10,128832-ARV,YES
128832THUNDER07cBEIGELGRN6,128832-ARV,YES
128832THUNDER07cBEIGELGRN9,128832-ARV,YES
128832TARZAN01cWHTBROWN7,128832-ARV,YES
128832FEMINA09cLAVENDER7,128832-ARV,YES
128832SUPERSTAR02cLGRYFRZ10,128832-ARV,YES
128832AIRWEAVE02cNVYSLTPGRN10,128832-ARV,YES
1001158905944539949,100115-BHW,YES
100001300997311004,100001-WD27,YES
100001301018952004,100001-W136,YES
1246218909044958730,124621-P538,YES
1280471240539412OSFA,128047-UWH,YES
1257384066754391326,125738-481,YES
1284561382796400MD,128456-PWH,YES
125725VPLG70K56Z42FR,125725-ROWBWH,YES
1281518905271554370,128151-316,YES
127907J873102Yellow2,127907-WH,YES
1253491011B8674029,125349-AIN,YES
100001301008525003,100001-WD16,YES
